approach,species,n_knots,C,class_weight,mean_log_loss,std_log_loss,mean_auc,mean_brier
multi_species,ALL,8,0.1,balanced,0.46310902904940915,0.02127542564660728,0.8611328583145216,0.1504508624401081
multi_species,ALL,6,0.1,balanced,0.4647828811642194,0.021519239053615472,0.8625755774269983,0.15116052031311797
multi_species,ALL,4,0.1,balanced,0.46975714570018223,0.021547222858504307,0.8622672263923891,0.15295553223922922
multi_interactions,ALL,6,0.5,,0.1565458819952216,0.007560331157532492,0.8979291088121861,0.044224143126458
multi_interactions,ALL,8,0.5,,0.15657448635726903,0.007845951697289051,0.897146127971338,0.04411027921092512
multi_interactions,ALL,4,0.5,,0.15876156328693164,0.006152537347294461,0.8959916209618832,0.04508946742547922
multi_interactions,ALL,8,0.1,,0.16675356116376389,0.00771257656656642,0.8846616943958932,0.046637824271600306
multi_interactions,ALL,6,0.1,,0.16679294599928776,0.007839739610527497,0.884011909632983,0.046706924026775544
multi_interactions,ALL,4,0.1,,0.17068679036463089,0.007975673005584698,0.8776437106094306,0.047867912442785425
multi_interactions,ALL,8,0.5,balanced,0.33531488029353596,0.016251998365619573,0.8995143915033793,0.1042469951133492
multi_interactions,ALL,6,0.5,balanced,0.34237729316380466,0.019915077663405757,0.901256809450657,0.10650160946035588
multi_interactions,ALL,4,0.5,balanced,0.358296773972948,0.024167884059853643,0.9024518749964097,0.11209038141956726
multi_interactions,ALL,8,0.1,balanced,0.37519907904395505,0.017353222213487663,0.8957443338348318,0.11627720444963714
multi_interactions,ALL,6,0.1,balanced,0.3802299697753,0.01880528222177966,0.8966627389511472,0.11794845005623031
multi_interactions,ALL,4,0.1,balanced,0.3956643252170705,0.01927433210500797,0.8945212891653845,0.12383277984807475
