model,split_type,use_coords,species,candidate,fold,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_with_coords,random,True,Eulamprus murrayi,2,2,balanced,,sqrt,1,500,103,1,0.14431918406198374,0.37745098039215685,0.009708737864077669,0.011456757282310683,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,2,3,balanced,,sqrt,1,500,102,0,0.01920998905982594,,,0.003085176471205881,0.0,,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,2,4,balanced,,sqrt,1,500,102,0,0.011771459558159095,,,0.0018014117653431382,0.0,,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,2,5,balanced,,sqrt,1,500,103,1,0.1442729483835047,0.39215686274509803,0.009708737864077669,0.010605611651271848,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,3,1,balanced,,sqrt,5,300,103,0,0.08686132483407151,,,0.024007061113314715,0.0,,0.9805825242718447
RF_single_with_coords,random,True,Eulamprus murrayi,3,2,balanced,,sqrt,5,300,103,1,0.18060581283869281,0.18137254901960786,0.009708737864077669,0.019220706515566607,0.0,0.0,0.9901960784313726
RF_single_with_coords,random,True,Eulamprus murrayi,3,3,balanced,,sqrt,5,300,102,0,0.10033331732875533,,,0.027337032892767853,0.0,,0.9705882352941176
RF_single_with_coords,random,True,Eulamprus murrayi,3,4,balanced,,sqrt,5,300,102,0,0.05825265772305417,,,0.012911184294020757,0.0,,0.9803921568627451
RF_single_with_coords,random,True,Eulamprus murrayi,3,5,balanced,,sqrt,5,300,103,1,0.19223654827746875,0.2450980392156863,0.009708737864077669,0.02256819022489253,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,4,1,balanced,,sqrt,5,500,103,0,0.0870073912494154,,,0.023797744066159587,0.0,,0.9805825242718447
RF_single_with_coords,random,True,Eulamprus murrayi,4,2,balanced,,sqrt,5,500,103,1,0.17834528785901838,0.1568627450980392,0.009708737864077669,0.01836627223307211,0.0,0.0,0.9901960784313726
RF_single_with_coords,random,True,Eulamprus murrayi,4,3,balanced,,sqrt,5,500,102,0,0.10072579469617682,,,0.027759275661304084,0.0,,0.9705882352941176
RF_single_with_coords,random,True,Eulamprus murrayi,4,4,balanced,,sqrt,5,500,102,0,0.06004696662189881,,,0.013377316744577294,0.0,,0.9803921568627451
RF_single_with_coords,random,True,Eulamprus murrayi,4,5,balanced,,sqrt,5,500,103,1,0.19558896784197455,0.22549019607843135,0.009708737864077669,0.024086524076719542,0.0,0.0,0.9901960784313726
RF_single_with_coords,random,True,Eulamprus murrayi,5,1,balanced,20.0,sqrt,1,300,103,0,0.022822523669319052,,,0.005725782093471412,0.0,,0.9902912621359223
RF_single_with_coords,random,True,Eulamprus murrayi,5,2,balanced,20.0,sqrt,1,300,103,1,0.14403733222010248,0.3872549019607843,0.009708737864077669,0.011371501618899684,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,5,3,balanced,20.0,sqrt,1,300,102,0,0.018961666950650356,,,0.00305740740809368,0.0,,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,5,4,balanced,20.0,sqrt,1,300,102,0,0.01109914352974535,,,0.001646514161896515,0.0,,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,5,5,balanced,20.0,sqrt,1,300,103,1,0.1439017321503685,0.3970588235294118,0.009708737864077669,0.01053503991449623,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,6,1,balanced,20.0,sqrt,1,500,103,0,0.022598168946696345,,,0.005603223301611649,0.0,,0.9902912621359223
RF_single_with_coords,random,True,Eulamprus murrayi,6,2,balanced,20.0,sqrt,1,500,103,1,0.14431918406198374,0.37745098039215685,0.009708737864077669,0.011456757282310683,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,6,3,balanced,20.0,sqrt,1,500,102,0,0.01920998905982594,,,0.003085176471205881,0.0,,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,6,4,balanced,20.0,sqrt,1,500,102,0,0.011771459558159095,,,0.0018014117653431382,0.0,,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,6,5,balanced,20.0,sqrt,1,500,103,1,0.1442729483835047,0.39215686274509803,0.009708737864077669,0.010605611651271848,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,7,1,balanced,20.0,sqrt,5,300,103,0,0.08686132483407148,,,0.024007061113314705,0.0,,0.9805825242718447
RF_single_with_coords,random,True,Eulamprus murrayi,7,2,balanced,20.0,sqrt,5,300,103,1,0.18060581283869281,0.18137254901960786,0.009708737864077669,0.019220706515566614,0.0,0.0,0.9901960784313726
RF_single_with_coords,random,True,Eulamprus murrayi,7,3,balanced,20.0,sqrt,5,300,102,0,0.10033331732875533,,,0.027337032892767853,0.0,,0.9705882352941176
RF_single_with_coords,random,True,Eulamprus murrayi,7,4,balanced,20.0,sqrt,5,300,102,0,0.058252657723054185,,,0.01291118429402076,0.0,,0.9803921568627451
RF_single_with_coords,random,True,Eulamprus murrayi,7,5,balanced,20.0,sqrt,5,300,103,1,0.19223654827746875,0.2450980392156863,0.009708737864077669,0.022568190224892534,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,8,1,balanced,20.0,sqrt,5,500,103,0,0.08700739124941537,,,0.02379774406615958,0.0,,0.9805825242718447
RF_single_with_coords,random,True,Eulamprus murrayi,8,2,balanced,20.0,sqrt,5,500,103,1,0.17834528785901838,0.1568627450980392,0.009708737864077669,0.018366272233072106,0.0,0.0,0.9901960784313726
RF_single_with_coords,random,True,Eulamprus murrayi,8,3,balanced,20.0,sqrt,5,500,102,0,0.10072579469617683,,,0.027759275661304084,0.0,,0.9705882352941176
RF_single_with_coords,random,True,Eulamprus murrayi,8,4,balanced,20.0,sqrt,5,500,102,0,0.0600469666218988,,,0.013377316744577294,0.0,,0.9803921568627451
RF_single_with_coords,random,True,Eulamprus murrayi,8,5,balanced,20.0,sqrt,5,500,103,1,0.19558896784197455,0.22549019607843135,0.009708737864077669,0.024086524076719542,0.0,0.0,0.9901960784313726
RF_single_with_coords,random,True,Ophioscincus truncatus,1,1,balanced,,sqrt,1,300,102,17,0.36927552948737585,0.8273356401384083,0.6071383953162076,0.11683115468411544,0.48484848484848486,0.47058823529411764,0.9058823529411765
RF_single_with_coords,random,True,Ophioscincus truncatus,1,2,balanced,,sqrt,1,300,103,18,0.37725834511805384,0.8016339869281045,0.6023623666822902,0.11872146709819525,0.5454545454545454,0.5,0.9294117647058824
RF_single_with_coords,random,True,Ophioscincus truncatus,1,3,balanced,,sqrt,1,300,102,17,0.5650617042413406,0.7363321799307958,0.3421827048823076,0.17150359477130067,0.3902439024390244,0.47058823529411764,0.8117647058823529
RF_single_with_coords,random,True,Ophioscincus truncatus,1,4,balanced,,sqrt,1,300,103,18,0.42787438226498065,0.7950980392156862,0.4904328412928214,0.14257098166132146,0.43902439024390244,0.5,0.8352941176470589
RF_single_with_coords,random,True,Ophioscincus truncatus,1,5,balanced,,sqrt,1,300,103,18,0.311499288869988,0.884313725490196,0.6243515898432985,0.0984154261057659,0.5,0.4444444444444444,0.9294117647058824
RF_single_with_coords,random,True,Ophioscincus truncatus,2,1,balanced,,sqrt,1,500,102,17,0.37201784591063813,0.8294117647058823,0.597948888939601,0.11784435294118628,0.47058823529411764,0.47058823529411764,0.8941176470588236
